,0_start,1_start,2_start,3_start,4_start,5_start,6_start,7_start,8_start,9_start,10_start,11_start,12_start,13_start,14_start,15_start,16_start,17_start,18_start,19_start,20_start,21_start,22_start,23_start,0_end,1_end,2_end,3_end,4_end,5_end,6_end,7_end,8_end,9_end,10_end,11_end,12_end,13_end,14_end,15_end,16_end,17_end,18_end,19_end,20_end,21_end,22_end,23_end
Brunswick & 6th,1,0,0,0,0,1,0,6,3,0,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,0,2,1,0,0,1
Newport Pkwy,1,0,0,0,0,0,0,3,0,2,1,1,0,2,2,2,3,7,4,2,0,6,1,0,1,0,0,0,0,0,2,1,4,2,0,0,0,2,2,1,4,3,5,2,2,2,4,0
Journal Square,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0
McGinley Square,0,1,0,0,0,0,0,0,4,1,0,3,0,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1,1,1,0,0,0
Marin Light Rail,0,1,0,0,0,1,1,5,5,2,2,1,3,0,0,0,1,6,19,11,1,3,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,2,5,11,11,8,5,5,1,0
River St & 1 St,0,0,1,0,0,0,0,0,6,1,3,2,1,2,0,0,0,2,10,5,2,1,0,0,0,0,0,0,0,1,2,5,6,3,0,2,0,0,0,2,6,0,0,5,0,1,0,0
City Hall - Washington St & 1 St,0,0,0,0,1,0,1,1,5,0,1,0,1,2,2,1,0,3,7,5,3,1,1,0,0,0,0,0,0,0,2,6,6,1,0,2,1,0,0,0,1,3,2,4,3,1,1,0
Fairmount Ave,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0
7 St & Monroe St,0,0,0,0,1,0,0,1,4,2,4,1,2,0,1,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,2,1,0,4,2,3,2,1,0,0
Dey St,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Dixon Mills,0,0,0,0,1,1,0,6,5,2,0,0,0,1,0,0,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,7,5,3,0,3,1,0
4 St & Grand St,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,2,1,0,2,3,3,1,0,0,0
Madison St & 1 St,0,0,0,0,0,2,3,12,2,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,7,4,1,3,1,0,1
Adams St & 2 St,0,0,0,0,0,1,1,3,7,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,3,2,0,1,0,3,2,3,2,0,0,1
