Station,Hour,Bikes,Incoming,Outgoing
Washington St,0,10,0,0
Washington St,1,10,0,0
Washington St,2,10,0,0
Washington St,3,10,0,0
Washington St,4,10,0,0
Washington St,5,10,0,0
Washington St,6,11,1,0
Washington St,7,11,1,1
Washington St,8,7,0,4
Washington St,9,1,3,9
Washington St,10,1,1,1
Washington St,11,-1,1,3
Washington St,12,-1,1,1
Washington St,13,0,2,1
Washington St,14,0,1,1
Washington St,15,1,1,0
Washington St,16,-1,1,3
Washington St,17,1,2,0
Washington St,18,9,9,1
Washington St,19,12,6,3
Washington St,20,12,3,3
Washington St,21,13,2,1
Washington St,22,14,2,1
Washington St,23,14,0,0
Washington St,24,14,0,0
Hoboken Ave at Monmouth St,0,10,0,0
Hoboken Ave at Monmouth St,1,10,0,0
Hoboken Ave at Monmouth St,2,10,0,0
Hoboken Ave at Monmouth St,3,10,0,0
Hoboken Ave at Monmouth St,4,10,0,0
Hoboken Ave at Monmouth St,5,10,0,0
Hoboken Ave at Monmouth St,6,10,0,0
Hoboken Ave at Monmouth St,7,11,1,0
Hoboken Ave at Monmouth St,8,10,1,2
Hoboken Ave at Monmouth St,9,5,0,5
Hoboken Ave at Monmouth St,10,5,1,1
Hoboken Ave at Monmouth St,11,6,3,2
Hoboken Ave at Monmouth St,12,4,0,2
Hoboken Ave at Monmouth St,13,6,2,0
Hoboken Ave at Monmouth St,14,6,3,3
Hoboken Ave at Monmouth St,15,7,1,0
Hoboken Ave at Monmouth St,16,5,1,3
Hoboken Ave at Monmouth St,17,4,1,2
Hoboken Ave at Monmouth St,18,-1,2,7
Hoboken Ave at Monmouth St,19,4,6,1
Hoboken Ave at Monmouth St,20,2,1,3
Hoboken Ave at Monmouth St,21,3,1,0
Hoboken Ave at Monmouth St,22,3,0,0
Hoboken Ave at Monmouth St,23,2,0,1
Hoboken Ave at Monmouth St,24,2,0,0
City Hall - Washington St & 1 St,0,10,0,0
City Hall - Washington St & 1 St,1,10,0,0
City Hall - Washington St & 1 St,2,10,0,0
City Hall - Washington St & 1 St,3,10,0,0
City Hall - Washington St & 1 St,4,10,0,0
City Hall - Washington St & 1 St,5,11,1,0
City Hall - Washington St & 1 St,6,11,0,0
City Hall - Washington St & 1 St,7,10,1,2
City Hall - Washington St & 1 St,8,5,1,6
City Hall - Washington St & 1 St,9,4,5,6
City Hall - Washington St & 1 St,10,3,0,1
City Hall - Washington St & 1 St,11,4,1,0
City Hall - Washington St & 1 St,12,2,0,2
City Hall - Washington St & 1 St,13,2,1,1
City Hall - Washington St & 1 St,14,4,2,0
City Hall - Washington St & 1 St,15,6,2,0
City Hall - Washington St & 1 St,16,7,1,0
City Hall - Washington St & 1 St,17,6,0,1
City Hall - Washington St & 1 St,18,6,3,3
City Hall - Washington St & 1 St,19,11,7,2
City Hall - Washington St & 1 St,20,12,5,4
City Hall - Washington St & 1 St,21,12,3,3
City Hall - Washington St & 1 St,22,12,1,1
City Hall - Washington St & 1 St,23,12,1,1
City Hall - Washington St & 1 St,24,12,0,0
Newport Pkwy,0,10,0,0
Newport Pkwy,1,10,1,1
Newport Pkwy,2,10,0,0
Newport Pkwy,3,10,0,0
Newport Pkwy,4,10,0,0
Newport Pkwy,5,10,0,0
Newport Pkwy,6,10,0,0
Newport Pkwy,7,8,0,2
Newport Pkwy,8,10,3,1
Newport Pkwy,9,6,0,4
Newport Pkwy,10,6,2,2
Newport Pkwy,11,7,1,0
Newport Pkwy,12,8,1,0
Newport Pkwy,13,8,0,0
Newport Pkwy,14,8,2,2
Newport Pkwy,15,8,2,2
Newport Pkwy,16,9,2,1
Newport Pkwy,17,8,3,4
Newport Pkwy,18,12,7,3
Newport Pkwy,19,11,4,5
Newport Pkwy,20,11,2,2
Newport Pkwy,21,9,0,2
Newport Pkwy,22,13,6,2
Newport Pkwy,23,10,1,4
Newport Pkwy,24,10,0,0
Manila & 1st,0,10,0,0
Manila & 1st,1,10,0,0
Manila & 1st,2,10,0,0
Manila & 1st,3,10,0,0
Manila & 1st,4,10,0,0
Manila & 1st,5,10,0,0
Manila & 1st,6,10,0,0
Manila & 1st,7,10,0,0
Manila & 1st,8,7,0,3
Manila & 1st,9,7,3,3
Manila & 1st,10,6,0,1
Manila & 1st,11,6,0,0
Manila & 1st,12,6,0,0
Manila & 1st,13,6,0,0
Manila & 1st,14,6,0,0
Manila & 1st,15,6,1,1
Manila & 1st,16,6,1,1
Manila & 1st,17,5,0,1
Manila & 1st,18,5,4,4
Manila & 1st,19,8,5,2
Manila & 1st,20,13,7,2
Manila & 1st,21,15,3,1
Manila & 1st,22,15,0,0
Manila & 1st,23,15,1,1
Manila & 1st,24,15,0,0
9 St HBLR - Jackson St & 8 St,0,20,0,0
9 St HBLR - Jackson St & 8 St,1,20,0,0
9 St HBLR - Jackson St & 8 St,2,20,0,0
9 St HBLR - Jackson St & 8 St,3,20,0,0
9 St HBLR - Jackson St & 8 St,4,20,0,0
9 St HBLR - Jackson St & 8 St,5,20,0,0
9 St HBLR - Jackson St & 8 St,6,20,0,0
9 St HBLR - Jackson St & 8 St,7,21,1,0
9 St HBLR - Jackson St & 8 St,8,26,5,0
9 St HBLR - Jackson St & 8 St,9,26,3,3
9 St HBLR - Jackson St & 8 St,10,28,5,3
9 St HBLR - Jackson St & 8 St,11,29,1,0
9 St HBLR - Jackson St & 8 St,12,29,0,0
9 St HBLR - Jackson St & 8 St,13,29,0,0
9 St HBLR - Jackson St & 8 St,14,27,1,3
9 St HBLR - Jackson St & 8 St,15,22,0,5
9 St HBLR - Jackson St & 8 St,16,21,2,3
9 St HBLR - Jackson St & 8 St,17,23,2,0
9 St HBLR - Jackson St & 8 St,18,16,0,7
9 St HBLR - Jackson St & 8 St,19,14,1,3
9 St HBLR - Jackson St & 8 St,20,15,4,3
9 St HBLR - Jackson St & 8 St,21,18,3,0
9 St HBLR - Jackson St & 8 St,22,18,0,0
9 St HBLR - Jackson St & 8 St,23,18,0,0
9 St HBLR - Jackson St & 8 St,24,18,0,0
Stevens - River Ter & 6 St,0,10,0,0
Stevens - River Ter & 6 St,1,10,0,0
Stevens - River Ter & 6 St,2,10,0,0
Stevens - River Ter & 6 St,3,10,0,0
Stevens - River Ter & 6 St,4,10,0,0
Stevens - River Ter & 6 St,5,10,0,0
Stevens - River Ter & 6 St,6,10,0,0
Stevens - River Ter & 6 St,7,10,0,0
Stevens - River Ter & 6 St,8,10,0,0
Stevens - River Ter & 6 St,9,10,2,2
